Device_SN,PartNo_Select,Iop (mA),Ith (mA),Laser Temperature (Top) (C),Slope Efficiency (mW/mA),Optical Power (mW),SMSR (dB),Tracking Error_MIN (dB),Tracking Error_MAX (dB),Thermistor Resistance (Rth) (K-Ohm),B Consttant (K),CNR @ 61.25 MHz (dB),CNR @ 547.25 MHz (dB),CSO (dB),CTB (dB),Chirp (MHz/mW),Monitor Current (micro-A),Frequency Response (dB),
CEKK028,G1752-204-029,73.3,21.04865,25.1,0.198,10.52,49.85,-0.21,0.09,9.962,3944.9,52.7,54.1,41.3,73.7,345.43,485.5,0.7,
CEKL124,G1752-204-029,59.29,13.53716,26.29,0.226,10.51,48.9,-0.15,0.05,9.448,3943.5,52.7,53.5,41.2,72.6,364.17,586.3,0.7,
CEKL053,G1752-204-024,64.04,16.7943,31.84,0.219,10.54,51,-0.13,0.04,7.463,3959.9,51.6,52.9,42.3,73,364.18,561.9,0.8,
CEKH128,G1752-204-029,71.04,17.73408,27.87,0.192,10.55,50.63,-0.06,0.07,8.821,3945.1,53.4,54.1,40.7,70,367.03,505.9,1,
CEKG423,G1752-204-024,71.05,15.64205,29.21,0.185,10.52,51.15,-0.17,0.05,8.337,3951.5,52.8,53.8,41.1,72.8,349.42,477.8,0.7,
CEKL054,G1752-204-024,68.03,17.53823,32.1,0.204,10.54,50.13,-0.13,0.03,7.371,3954,52.6,53.6,41,73.7,381.58,444.9,0.8,
CEKJ162,G1752-204-024,71.54,16.00837,31.23,0.185,10.51,50.32,-0.21,0.11,7.65,3954.6,52.7,53.5,41.6,73.1,373.13,541,0.8,
CEKG386,G1752-204-024,74.8,17.08477,28.54,0.179,10.5,51.08,-0.1,0.13,8.585,3952.6,51.6,52.9,42,73.4,340,608.7,0.9,
CEKL049,G1752-204-024,64.04,15.58155,31.59,0.212,10.51,51.1,-0.06,0.05,7.518,3945.8,53.2,53.5,41.4,70.9,367.38,438.9,0.8,
CEKJ935,G1752-204-024,79.55,17.2804,32.56,0.166,10.54,52.7,-0.1,0.1,7.202,3937.5,52.1,53.4,41,73.7,372.45,657.4,0.7,
CEKH337,G1752-204-052,58.03,11.75806,27.67,0.223,10.56,47.13,-0.29,0.1,8.892,3942.6,52.9,53.8,41.7,73.1,373.53,450.2,0.8,
CEKL005,G1752-204-024,65.04,16.38122,29.96,0.212,10.5,51.39,-0.3,0.14,8.048,3939.8,51.4,52.7,42.5,73,325.91,550.6,0.7,
CEKK218,G1752-204-054,55.53,17.3262,29.85,0.27,10.51,52.65,-0.04,0.17,8.084,3938.8,52,52.9,43.1,72.3,324.33,525.7,0.8,
CEKE483,G1752-204-024,69.29,16.08286,29.91,0.196,10.54,52.53,-0.13,0.02,8.084,3949,53.1,54.4,40.8,70.3,360.23,527.3,1,
CEKF332,G1752-204-060,94.8,16.00734,26.88,0.131,10.51,48.57,-0.13,0.04,9.206,3943.3,52.2,53.6,42.6,71.5,335.48,612.9,0.7,
CEKH275,G1752-204-042,95.04,20.68435,30.95,0.139,10.52,49.82,-0.04,0.16,7.709,3936.8,53.2,53.8,40.6,72.8,379.49,616.3,0.6,
CEKK168,G1752-204-026,58.04,18.17663,28.22,0.252,10.5,50.99,-0.1,0.02,8.685,3944,52.1,53.1,42.1,70.5,321.97,263.7,0.7,
CEKH399,G1752-204-061,64.79,14.69968,29.27,0.203,10.5,49.46,-0.03,0.07,8.301,3944.8,52.7,53.6,41.4,70.2,372.34,371.5,0.9,
CEKF371,G1752-204-054,50.02,13.00596,24.66,0.279,10.53,46.28,-0.06,0.09,10.143,3939.9,51.7,52.7,43.1,72.4,356.2,310.6,0.7,
CDG4766,G1752-204-054,101.81,19.29151,31.96,0.124,10.52,49.05,-0.22,0.06,7.395,3942.3,52.3,53.3,42.7,69.8,339.2,620.9,0.8,
CEKJ114,G1752-204-023,78.28,16.5022,32.53,0.166,10.51,51.59,-0.11,0.06,7.245,3958.4,51.9,53.2,41.6,71.8,373.86,867.2,0.8,
CEKF423,G1752-204-023,76.05,14.79162,32.14,0.166,10.51,50.44,-0.04,0.05,7.359,3954.3,52.7,52.9,41.1,71.9,334.88,454.8,1,
CEKJ159,G1752-204-024,70.55,15.95512,29.71,0.188,10.53,47.54,-0.28,0.22,8.156,3950,53.1,54.1,40.3,73,385.44,537.6,0.8,
CEKJ100,G1752-204-023,91.3,21.06072,32.19,0.146,10.52,49.5,-0.09,0.18,7.346,3955.9,53.3,54.1,40.4,70.9,334.08,294.3,0.8,
CEKC776,G1752-204-024,65.29,16.75196,28.01,0.209,10.53,48.52,-0.16,0.05,8.772,3947,53.1,53.8,41.1,71.7,355.45,581.9,0.6,
CEKC770,G1752-204-024,68.78,18.61242,29.77,0.204,10.56,46.78,-0.29,0.12,8.12,3942.8,52.5,52.4,41.2,71.3,388.89,764.7,0.7,
CEKK189,G1752-204-026,56.26,16.8071,28.34,0.258,10.56,50.31,-0.11,0.15,8.655,3950.4,52.4,53.6,42.3,71,338.29,255,0.8,
CEKD709,G1752-204-028,66.79,18.36238,30.93,0.221,10.51,49.14,-0.14,0.21,7.746,3953.1,51.7,52.8,42.9,64,366.05,747.1,0.7,
CEKJ243,G1752-204-041,68.8,16.17237,27.16,0.199,10.51,52.76,-0.19,0.15,9.087,3940.6,51.9,53.4,43.3,67.7,325.75,331.9,0.5,
CEKF361,G1752-204-054,50.52,14.49585,25.45,0.284,10.52,49.79,-0.17,0.1,9.752,3925.6,52.3,53.3,43.1,72.4,327.61,286.1,0.8,
CEKF380,G1752-204-054,50.53,15.42723,26.77,0.293,10.54,51.81,-0.12,0.05,9.244,3940.8,52.1,53.1,43.3,73.4,383.69,294,0.8,
CEKC749,G1752-204-024,71.29,18.75346,27.42,0.196,10.51,48.94,-0.06,0.09,9.012,3951.6,52.8,53.9,41.4,72.8,364.72,498.3,0.6,
CEKJ255,G1752-204-041,82.57,15.31985,23.82,0.153,10.52,52.43,-0.11,0.04,10.57,3951.8,53.2,54.3,41.6,73.1,334.1,400.5,0.8,
CEJN323,G1752-204-024,75.97,17.87468,32.09,0.175,10.5,51.28,-0.15,0.11,7.425,3984.1,52.6,53.7,40.5,71.4,374.7,301.9,0.6,
CEKF298,G1752-204-060,87.47,13.97005,21.52,0.14,10.52,46.62,-0.13,0.04,11.813,3973,52.8,53.3,41.9,71.8,349.92,877.5,0.7,
CEKL001,G1752-204-024,65.79,16.83432,33.57,0.209,10.51,52.98,-0.16,0.08,6.914,3945,51.7,52.9,42.3,73,346.68,517.9,0.5,
CEKA205,G1752-204-049,73.32,18.14074,27.51,0.198,10.54,49.84,-0.07,0.13,8.965,3946.9,51.7,52.9,43.1,64,315.36,738.2,0.7,
CEKC754,G1752-204-024,62.79,16.8777,25.94,0.222,10.52,51.57,-0.14,0.28,9.576,3936.9,52.9,54.3,41.6,72.4,323.05,340.4,0.6,
CEKG549,G1752-204-035,80.3,17.13242,31.01,0.166,10.55,49.32,-0.2,0.17,7.709,3947.4,52.9,54.1,41.6,69.1,369.98,757.3,0.8,
CEKL813,G1752-204-039,82.04,22.84761,30.43,0.174,10.5,50.54,-0.07,0.11,7.913,3952.8,53.2,54.3,41.2,71.9,367.76,443.5,0.6,
CEKH449,G1752-204-062,90.05,19.10423,30.88,0.144,10.52,49.55,-0.13,0.05,7.746,3944.3,52.5,53.4,41.7,69.6,353.53,548.2,0.8,
CEK5538,G1752-204-039,80.55,21.53136,26.57,0.176,10.5,39.88,-0.27,0.16,9.327,3941.4,51.2,52.6,42.6,72.7,348.47,383.8,0.9,
CEKH259,G1752-204-024,62.28,17.02647,28.23,0.226,10.52,50.67,-0.03,0.04,8.694,3949.4,52.3,53.1,41.2,72.6,321.15,490.8,0.8,
CEKL040,G1752-204-024,64.04,16.11252,32.59,0.216,10.52,47.53,-0.15,0.14,7.212,3949.3,51.8,52.4,40.9,71.3,331.29,495.5,0.8,
CEKH264,G1752-204-024,68.8,19.38397,29.76,0.208,10.52,51.96,-0.29,0.19,8.121,3941.6,51.4,52.7,42.8,72.4,339.75,499,0.6,
CEKL628,G1752-204-030,60.72,19.00643,28.39,0.244,10.53,52.56,-0.11,0.19,8.701,3978.2,53,53.3,40.2,71.3,366.95,218.9,0.7,
CEKH126,G1752-204-029,71.79,16.55727,26.47,0.186,10.51,51.67,-0.06,0.23,9.366,3940.7,53.2,54.3,40.2,72.8,369.1,567.8,0.7,
CEKK126,G1752-204-026,89.58,16.49847,20.49,0.142,10.5,50.92,-0.12,0.17,12.23,3937.8,51.9,53.2,42.3,72.7,315.4,442.6,0.7,
CEKJ126,G1752-204-023,69.56,18.26834,33.11,0.206,10.55,51.5,-0.18,0.14,7.066,3956.1,52.5,53.4,42.6,64.8,356.33,536.9,0.7,
CEKL107,G1752-204-029,68.78,16.22758,28.9,0.196,10.5,52.59,-0.15,0.08,8.447,3950.3,52.5,53.5,41.1,72.4,385.64,569.6,0.6,
CEKF378,G1752-204-054,53.04,13.76598,25.86,0.265,10.54,48.44,-0.2,0.05,9.621,3940.8,52.5,53.6,41.9,73.5,335.58,441.1,0.7,
CEKD629,G1752-204-036,69.06,14.27683,29.81,0.193,10.51,50.23,-0.2,0.25,8.122,3950.5,52,53.4,42.9,66.5,387.07,564.6,1,
CEKK198,G1752-204-026,65.06,19.06512,28.85,0.223,10.55,48.88,-0.15,0.23,8.445,3941.2,52.5,53.4,42.1,72.6,357.79,214.6,0.8,
CEKD640,G1752-204-036,57.54,19.64973,25.06,0.268,10.5,45.39,-0.13,0.22,9.965,3940.1,52.5,53.3,42.9,69.2,332.09,219.5,0.8,
CEKH180,G1752-204-029,66.81,19.97485,31.04,0.219,10.51,51.07,-0.1,0.05,7.695,3945.2,53.2,53.6,41.4,72.6,363.49,529.4,0.9,
CEKK041,G1752-204-029,66.55,17.17965,29.15,0.211,10.51,51.98,-0.21,0.07,8.365,3954.4,52.8,53.6,41.2,72.1,381.15,525.6,0.8,
CEKG496,G1752-204-029,55.04,14.69888,29.14,0.244,10.51,50.45,-0.09,0.16,8.367,3953.6,52.5,52.9,40.9,71.9,317.79,299.8,1,
CEKF426,G1752-204-023,70.31,20.45155,31.68,0.207,10.51,51.01,-0.07,0.27,7.492,3947.3,52,53.1,44.1,69.8,314.36,311.9,0.7,
CEKM677,G1752-204-024,62.05,21.28911,29.83,0.251,10.55,42.77,-0.08,0.09,8.118,3952,52.8,52.8,42.1,69,346.27,407.8,0.6,
CEKL784,G1752-204-039,57.54,18.15969,32.42,0.262,10.53,49.01,-0.08,0.09,7.269,3952.4,52.5,53.8,43.1,71.1,315.98,484.3,0.8,
CEKH217,G1752-204-029,98.81,18.4433,30.76,0.127,10.52,51.27,-0.14,0.03,7.783,3942.8,53.5,54.1,39.6,74.5,367.24,935.2,1,
CEKE497,G1752-204-024,53.27,11.65156,27.89,0.246,10.54,50.81,-0.19,0.1,8.82,3947.9,53,54.1,41.6,72.4,335.35,330.6,0.7,
CEKJ930,G1752-204-024,73.55,18.2514,31.58,0.187,10.55,43.41,-0.27,0.12,7.515,3942.3,53.2,53.6,40.6,72.3,350.4,548.2,0.7,
CEKH139,G1752-204-029,65.54,15.78448,27.74,0.208,10.51,51.24,-0.09,0.23,8.884,3950.4,52.7,53.8,41.9,72.6,334.66,560.2,0.8,
CEKG307,G1752-204-054,52.03,12.66436,24.67,0.261,10.52,50.64,-0.18,0.26,10.145,3942,53,54,41.4,72.9,345.65,381.1,0.7,
CEKH129,G1752-204-029,74.29,18.98419,27.88,0.185,10.52,50.69,-0.05,0.04,8.823,3947.5,53,53.6,40.9,68.6,358.25,501.1,0.7,
CEKF263,G1752-204-060,100.54,15.87953,29.14,0.123,10.5,51.51,-0.28,0.26,8.364,3952.3,52.7,53.6,42.9,72.6,345.62,697.6,1,
CEKL602,G1752-204-030,70.04,17.87613,26.2,0.193,10.52,53.14,-0.29,0.06,9.49,3945.1,52.5,53,39.1,72.4,356.83,501.8,0.7,
CEKB781,G1752-204-020,54.03,13.42086,25,0.254,10.55,51.53,-0.09,0.17,10.011,3946.4,52.7,53.6,41.9,72.6,329.11,466.8,1,
CEK8805,G1752-204-020,58.78,17.26551,30.51,0.247,10.54,46.51,-0.08,0.05,7.879,3949.2,52.5,52.6,42.4,71.4,355.84,416.9,0.7,
CEKM715,G1752-204-024,77.54,16.49623,32.1,0.169,10.51,50.67,-0.08,0.08,7.37,3953.4,53,54,41.4,74.3,372.58,655.6,0.8,
CEKH249,G1752-204-024,84.53,20.4629,30,0.16,10.51,52.71,-0.26,0.09,8.046,3945.6,53,53.8,40.1,73.2,384.67,534.9,0.9,
CEKL598,G1752-204-030,52.54,17.04071,25.72,0.291,10.53,53.62,-0.12,0.09,9.661,3934,52.2,53.3,42.4,72.1,330,230.7,1.3,
CEKD704,G1752-204-028,79.06,18.12333,32.26,0.168,10.5,52.56,-0.12,0.18,7.3,3941.3,52.5,53.6,41.6,72.4,360.98,467.7,0.9,
CEKG304,G1752-204-054,57.03,13.97838,25,0.239,10.55,52.3,-0.08,0.05,10.014,3947.4,53,53.8,41.2,72.6,346.16,378,0.7,
CEKM719,G1752-204-024,78.04,19.24919,33.66,0.175,10.5,49.65,-0.2,0.03,6.887,3944.3,53,53.6,41.1,73.1,374.43,566.5,0.7,
CEKF253,G1752-204-060,104.29,20.3109,28.54,0.125,10.51,40.58,-0.15,0.05,8.58,3950.4,52.9,53.6,42.2,72.1,377.67,534.7,0.8,
CEKM761,G1752-204-030,69.53,15.75558,25.45,0.189,10.51,49.6,-0.04,0.07,9.754,3926.3,53.3,54.3,39.2,68.8,387.81,546.2,0.9,
CEKD614,G1752-204-036,56.27,12.82906,27.03,0.243,10.56,48.76,-0.05,0.08,9.159,3948.4,52.2,53.8,43.6,66.4,351.83,436.4,0.7,
CEJ6452,G1752-204-029,66.54,17.91311,32.2,0.211,10.51,48.95,-0.28,0.25,7.342,3955.3,52.4,52.8,42.9,73,328.83,286.1,0.7,
CEKL744,G1752-204-033,94.32,17.09332,27.5,0.135,10.53,42.66,-0.21,0.12,8.966,3945.8,51.9,52.9,41.3,71.5,360.36,639.9,0.6,
CEKL035,G1752-204-024,68.04,17.81677,32.64,0.207,10.51,46.76,-0.2,0.17,7.204,3953.8,52.6,53.4,41.5,72.9,348.48,528.4,0.9,
CEKK239,G1752-204-054,54.54,16.4937,33.59,0.264,10.56,48.44,-0.08,0.21,6.912,3947.6,52.4,53.4,43,72.5,364.85,535.2,0.9,
CEKM686,G1752-204-024,59.29,17.50645,29.4,0.247,10.52,50.93,-0.17,0.17,8.266,3950.1,51.4,52.4,43,72.9,322.42,618.8,0.7,
CEKL010,G1752-204-024,77.04,20.21699,32.45,0.185,10.51,53.43,-0.25,0.08,7.239,3939.6,52.2,53.6,41.6,66,323.74,706.2,0.7,
CEKL162,G1752-204-029,56.78,14.80069,27.07,0.253,10.55,47.92,-0.12,0.05,9.122,3940.3,51.9,53.1,42.5,65.4,388.87,609.6,0.8,
CEKJ153,G1752-204-024,64.04,18.27551,30.35,0.226,10.52,51.68,-0.2,0.27,7.915,3939.9,52.6,53.7,41.6,72.5,354.66,596.5,0.8,
CEKF347,G1752-204-054,52.04,12.9199,24.28,0.264,10.58,52.54,-0.1,0.09,10.348,3949.8,51.2,52.9,43.5,72.5,330.65,465.5,0.9,
CEKM720,G1752-204-024,78.04,18.36711,30.5,0.172,10.51,51.16,-0.12,0.07,7.878,3947,52.6,53.6,40.8,74,354.52,523.9,0.9,
CEK1812,G1752-204-024,86.54,19.87479,30.51,0.155,10.5,45.48,-0.05,0.07,7.878,3948.7,52.9,54.3,41,74.2,380.02,590.4,0.6,
CEKK225,G1752-204-054,53.52,15.83921,29.6,0.271,10.51,52.93,-0.13,0.06,8.185,3945.4,52.7,53.9,42.6,73.9,321.79,466.7,1,
CEKK154,G1752-204-026,48.77,13.91989,25.27,0.297,10.55,46.5,-0.09,0.16,9.852,3933.1,52.8,53.9,42.3,72.2,319.89,279.5,1,
CEKH476,G1752-204-062,55.27,18.92179,25.81,0.283,10.55,46.57,-0.14,0.03,9.658,3946.3,52.1,52.6,44.1,68.7,324.7,235.1,0.6,
CEKK247,G1752-204-054,55.53,19.08301,33.19,0.281,10.53,47.54,-0.1,0.17,7.035,3951.4,51.6,52.7,43.1,71.5,333.17,420.6,0.9,
CEKH384,G1752-204-061,56.78,15.36888,28.08,0.245,10.5,49.39,-0.23,0.07,8.731,3941,52.1,53.1,42.3,72.8,357.39,307.8,0.9,
CEKL051,G1752-204-024,57.54,15.53521,32.49,0.247,10.54,52.53,-0.08,0.07,7.241,3948.4,52.9,53.6,41.6,72.7,325.74,379.5,0.9,
CEKL196,G1752-204-029,71.04,16.77654,28.08,0.192,10.54,49.54,-0.07,0.1,8.739,3944.4,52.6,53.4,40.6,74,388.91,594,0.6,
CEKG558,G1752-204-052,77.54,16.74832,30.3,0.171,10.52,46.21,-0.23,0.07,7.95,3949.1,51.9,52.7,42.5,73.2,362.06,542.9,1,
CEKJ233,G1752-204-029,72.29,20.46505,31.33,0.197,10.54,53.17,-0.06,0.09,7.612,3951.5,52.9,53.9,40.6,74.6,372.61,194.7,0.7,
CEKE416,G1752-204-024,86.3,19.37638,29.27,0.158,10.52,52.35,-0.12,0.04,8.302,3945.3,52.2,53.7,42.3,68.1,340.01,639,0.9,
CEJA653,G1752-204-052,61.29,13.71036,29.41,0.216,10.54,39.8,-0.1,0.15,8.264,3950.9,51.9,52.9,42.3,73.2,367.2,418.7,0.7,
CEKF419,G1752-204-023,74.54,15.35227,31.37,0.178,10.52,53.78,-0.09,0.02,7.589,3946,52.1,53.6,42.5,71.4,345.35,732.9,0.9,
CEKL076,G1752-204-024,76.04,15.62429,30.8,0.172,10.5,49.59,-0.21,0.05,7.789,3953,52.2,53.6,41,72.2,368.52,578.8,0.8,
CEKM618,G1752-204-039,53.79,15.29103,27.77,0.262,10.53,50.68,-0.04,0.06,8.857,3944.1,52.6,53.7,42,74.6,340.88,423.7,0.7,
CEKL050,G1752-204-024,63.3,16.67324,33.58,0.221,10.51,52.62,-0.06,0.06,6.912,3945.6,52.2,53.7,41.8,73.7,366.48,425.6,0.9,
CEKJ205,G1752-204-029,68.78,18.05548,26.89,0.201,10.52,50.71,-0.09,0.03,9.205,3944.4,51.8,52.9,41.6,71.2,378.29,528.4,0.8,
CEKL043,G1752-204-024,61.78,15.0456,32.06,0.223,10.52,53.42,-0.14,0.25,7.36,3940.1,52.1,53.4,42.3,71.7,340.73,582.6,0.9,
CEKK087,G1752-204-029,62.04,14.4848,25.41,0.215,10.55,53.4,-0.1,0.04,9.81,3939.4,53.4,54.4,40.6,73.9,345.91,351.6,0.5,
CEKH455,G1752-204-062,96.05,20.26971,30.65,0.137,10.5,51.61,-0.11,0.17,7.827,3946.7,51.7,53.2,43.3,73,349.06,799.4,1.3,
CEKJ222,G1752-204-029,80.78,17.83313,30.89,0.159,10.51,53.25,-0.06,0.08,7.745,3945.5,52.9,54.1,40,72.2,384.72,519.4,1,
CEKK025,G1752-204-029,59.78,16.25848,28.9,0.236,10.5,48,-0.04,0.05,8.445,3949.4,52.7,53.9,41.5,73.5,310.03,441,0.8,
CEKL019,G1752-204-024,73.29,16.75591,33.44,0.182,10.54,52.08,-0.15,0.17,6.976,3961.2,52.8,53.6,40.8,72.2,374.61,429.9,0.7,
CEKH193,G1752-204-029,71.54,18.9299,26.92,0.191,10.52,51.46,-0.2,0.04,9.199,3946.8,52.8,53.6,40.1,65.2,374.97,400.8,0.7,
CEKM721,G1752-204-024,64.54,23.96097,31.27,0.251,10.52,41.56,-0.15,0.06,7.623,3946.9,51.9,52.9,41.8,69.8,351.2,507.8,0.7,
CEKH424,G1752-204-061,56.54,17.84981,28.09,0.261,10.56,50.15,-0.24,0.05,8.735,3944.3,52.1,52.9,42.5,71.4,321.06,304,0.8,
CEKK112,G1752-204-026,47.54,14.33193,25.35,0.308,10.51,43.25,-0.02,0.07,9.814,3932,51.6,52.9,42.6,70.9,328.29,275.2,0.6,
CEKK107,G1752-204-026,61.3,21.75675,33.46,0.252,10.52,49.2,-0.24,0.15,6.952,3949,52.4,53.4,41.3,67.6,346.35,245.6,0.5,
CEKD668,G1752-204-039,59.05,16.45002,28.76,0.241,10.52,48.95,-0.13,0.27,8.482,3943,52.7,53.7,42.3,70.5,332.63,336.9,1,
CEKJ264,G1752-204-044,71.07,16.71551,31.62,0.191,10.53,52.88,-0.14,0.14,7.518,3951.2,51.9,53.4,42.8,72.4,345.25,452.7,0.6,
CEKK157,G1752-204-026,60.06,16.10563,27.37,0.234,10.51,49.66,-0.06,0.1,9.014,3944.6,51.9,52.9,42.5,72.5,365.87,339.9,0.9,
CEKK180,G1752-204-026,64.54,20.36228,30.86,0.23,10.51,47.73,-0.1,0.14,7.756,3946.1,51.6,52.6,42.5,71.4,351.58,301.1,0.7,
CEKK146,G1752-204-026,57.55,16.05732,30.85,0.248,10.51,53.02,-0.1,0.16,7.746,3939,52.1,53.4,42.1,72.7,334.08,437.2,0.8,
CEKA029,G1752-204-024,100.31,18.76158,33.14,0.128,10.51,51.13,-0.18,0.16,7.059,3957.4,52.4,53.7,42,74.4,338.25,772.5,0.6,
CEKB819,G1752-204-020,58.79,17.115,26.38,0.247,10.5,49.16,-0.18,0.17,9.412,3943.9,52.1,52.7,42.1,72.4,348.01,438.3,0.6,
CEKG519,G1752-204-029,57.03,15.11574,31.69,0.242,10.51,51.5,-0.17,0.17,7.5,3953.7,52.2,53.2,42.3,72.2,362.35,335.5,0.6,
CEKJ279,G1752-204-044,73.81,16.64217,33.78,0.181,10.52,53.31,-0.09,0.09,6.866,3953.7,52.7,54.3,41.8,73.2,356.67,528.5,0.8,
CEKH350,G1752-204-061,50.79,14.20724,27.22,0.276,10.54,47.51,-0.01,0.17,9.075,3945.2,53.1,53.7,42.1,66.5,343.14,273.4,1,
CEKJ276,G1752-204-044,67.79,18.30862,33.4,0.211,10.52,51.32,-0.15,0.13,6.983,3958,51.4,52.7,43.1,67.2,329.03,664.7,0.9,
CEKK105,G1752-204-026,57.56,18.1683,33.96,0.257,10.55,51.2,-0.06,0.19,6.807,3948.5,53.1,53.9,41.1,70.7,359.35,299.3,0.6,
CEKG314,G1752-204-054,57.29,12.5058,24.4,0.242,10.54,52.59,0,0.24,10.305,3953.6,51.9,53.1,42.8,65.5,351.11,726.7,1,
CEKH295,G1752-204-042,64.56,20.35884,30.95,0.23,10.51,52.17,-0.15,0.13,7.72,3942.7,51.9,53.1,43,73.4,312.13,401.7,0.7,
CEKL179,G1752-204-029,66.55,19.03456,27.82,0.216,10.52,48.64,-0.2,0.07,8.851,3949.6,51.7,52.7,42.5,72.7,319.53,476.8,0.5,
CEKL723,G1752-204-033,91.3,16.61269,23.14,0.14,10.5,52.51,-0.07,0.03,10.897,3951.6,52.3,53.8,42.5,71.1,321.62,706.9,0.6,
CEKL735,G1752-204-033,97.54,18.26591,27.12,0.132,10.54,48.67,-0.13,0.09,9.119,3946.9,52.4,54.1,42.1,73.9,315.54,879.9,0.6,
CEKC760,G1752-204-024,65.78,18.03882,27.76,0.211,10.5,48.23,-0.1,0.29,8.857,3942.5,52.8,53.6,39.7,71.1,384.71,469.7,0.7,
CEKD524,G1752-204-033,75.54,18.01112,32.73,0.176,10.51,51.34,-0.05,0.14,7.168,3948.4,52.2,53.4,41.6,68.7,328.08,473.4,0.7,
CEKC660,G1752-204-023,62.03,17.02276,27.64,0.226,10.5,52.15,-0.07,0.08,8.92,3949.2,53.2,53.4,41.2,71.8,311.62,155.6,0.6,
CEKH288,G1752-204-042,70.29,17.192,33.52,0.202,10.5,50.97,-0.04,0.02,6.944,3955.4,52.2,53.7,42.1,63.2,337.73,550.8,0.9,
CEKL106,G1752-204-029,65.54,17.96441,29.25,0.216,10.55,50.43,-0.04,0.05,8.301,3941.5,53.4,53.6,41.6,73.3,353.37,474.5,0.6,
CEKD467,G1752-204-048,100.05,19.33102,31,0.13,10.52,49.86,-0.14,0.26,7.709,3945.6,52.1,53.7,43.3,72.7,322.88,390.3,1,
CEKK113,G1752-204-026,101.8,19.88649,30.69,0.128,10.51,46.78,-0.03,0.15,7.817,3948.4,53.7,54.1,40.7,72,334.81,574.8,0.8,
CEKG306,G1752-204-054,55.27,13.98765,25.13,0.247,10.5,52.03,-0.16,0.1,9.96,3948.6,52.4,53.6,41.8,71.9,367.63,385.5,0.7,
CEKM684,G1752-204-024,64.79,17.83548,26.65,0.22,10.5,49.62,-0.09,0.11,9.255,3926.7,53.5,53.5,42.2,72.8,328.86,368.2,1,
CEKH265,G1752-204-042,89.29,19.47677,33.24,0.149,10.52,48.28,-0.17,0.07,7.007,3942.7,52.1,53.4,41.8,73.7,367.91,568.6,1,
CEKG296,G1752-204-054,61.53,15.85367,25,0.225,10.52,50.34,-0.27,0.02,10.012,3946.7,52.1,53.1,42.1,71.5,345.2,447.4,0.6,
CEKF333,G1752-204-060,95.04,14.29585,26.37,0.128,10.51,48.49,-0.15,0.09,9.413,3942.8,52.4,53.9,43.1,73.4,327.17,566.8,0.6,
CEKH354,G1752-204-061,51.78,10.74047,26.35,0.249,10.5,49.81,-0.28,0.11,9.413,3939.8,52.9,54.1,42,73.2,351.6,454.5,0.7,
CEKB765,G1752-204-020,73.79,21.08814,29.14,0.194,10.52,49.37,-0.18,0.16,8.365,3952.7,52.1,53.1,41.1,73.4,389.06,337.7,0.6,
CEKH267,G1752-204-042,88.81,21.68907,32.98,0.154,10.51,46.69,-0.06,0.19,7.094,3949.1,52.6,53.7,41.6,74.4,366.02,452.2,0.8,
CEKL586,G1752-204-030,63.29,17.02028,29.34,0.224,10.51,50.49,-0.11,0.05,8.292,3952.3,52.8,53.8,41.1,73.4,380.48,606.7,0.6,
CEKJ245,G1752-204-041,78.56,13.3066,24.46,0.156,10.51,52.94,-0.08,0.2,10.254,3946.3,51.4,53.2,42.8,72.6,366.15,714.2,0.6,
CEKJ252,G1752-204-041,82.3,18.66746,27.35,0.163,10.51,43.47,-0.08,0.07,9.015,3941.8,51.6,53.1,42.5,72.7,348.64,496.3,0.6,
CEKJ943,G1752-204-024,81.54,20.88529,34.12,0.169,10.52,51.85,-0.22,0.12,6.765,3951,52.3,53.6,41,72.2,389.82,544.9,0.6,
CEKD528,G1752-204-033,80.79,16.07234,32.33,0.157,10.51,53.91,0,0.16,7.309,3959.8,52.4,53.9,41.3,72.5,350.6,882.9,0.9,
CEKL037,G1752-204-024,70.3,17.23761,31.85,0.194,10.5,47.62,-0.06,0.15,7.42,3936.8,52.1,53.1,41.5,72.9,355.21,618.6,1,
CEKD711,G1752-204-028,75.28,17.00999,31.21,0.175,10.52,52.1,-0.07,0.21,7.651,3951.5,52.8,53.9,41,74.4,343.22,543.4,1,
CEKD519,G1752-204-033,81.79,17.08265,31.83,0.157,10.54,50.8,-0.22,0.09,7.457,3954.6,52.2,53.6,41,73.7,364.23,710.1,1,
CEKJ167,G1752-204-024,71.54,16.89699,29.87,0.187,10.52,49.96,-0.3,0.14,8.085,3942.7,51.9,52.9,41.6,72.7,340.68,498.9,0.7,
CEKD515,G1752-204-033,75.05,19.64984,33.15,0.185,10.52,45.7,-0.12,0.28,7.023,3935.8,51.7,52.9,42,71.4,352.91,690.3,1,
CEKL033,G1752-204-024,73.79,18.67087,32.7,0.187,10.5,42.96,-0.07,0.08,7.18,3950.2,51.9,53.2,41.5,73,362.58,547.2,1,
CEKH255,G1752-204-024,86.55,20.44912,28.7,0.154,10.5,51.61,-0.15,0.07,8.518,3949.2,52.4,53.6,40.3,71.2,384.93,595.6,1,
CEK9044,G1752-204-024,87.29,18.59989,31.49,0.152,10.52,50.97,-0.02,0.16,7.553,3947.4,52.3,53.6,41.5,71.5,363.69,773.3,1,
